player_id,underrated_score,bucket_label,smurf_label,upset_score,form_score,momentum_score,schedule_score,activity_score,volatility_score,upset_label,form_label,momentum_label,schedule_label,activity_label,volatility_label,sample_size_multiplier,raw_score_pre_damping,highlight_signals
15244943,,Insufficient data,⚪ Insufficient data,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,,Needs more recent games before scouting score is meaningful.
13215196,36.1,Normal — no strong signal,⚪ Looks fair,16.9,1.3,11.3,0.0,6.0,2.5,Competitive against stronger fields,Stable form,Stable,Mostly plays weaker fields,Active,Mid consistency,0.95,38.0,• Performs best in Regular events. • Upset: Competitive against stronger fields. • Momentum: Stable. • Activity: Active.
30176249,,Insufficient data,⚪ Insufficient data,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,,Needs more recent games before scouting score is meaningful.
14160065,,Insufficient data,⚪ Insufficient data,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,,Needs more recent games before scouting score is meaningful.
12802899,,Insufficient data,⚪ Insufficient data,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,,Needs more recent games before scouting score is meaningful.
12836880,,Insufficient data,⚪ Insufficient data,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,,Needs more recent games before scouting score is meaningful.
12662506,,Insufficient data,⚪ Insufficient data,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,,Needs more recent games before scouting score is meaningful.
16649696,,Insufficient data,⚪ Insufficient data,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,,Needs more recent games before scouting score is meaningful.
30020975,,Insufficient data,⚪ Insufficient data,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,,Needs more recent games before scouting score is meaningful.
17344518,46.8,Normal — no strong signal,⚪ Looks fair,7.7,12.3,6.0,3.2,10.0,7.6,Struggles against stronger opponents,In form,Stable,Mostly plays weaker fields,Very active,Mid consistency,1.0,46.8,• Performs best in Unknown events. • Very active — 20 games in the last 90 days. • Form: In form. • Activity: Very active. • Upset: Struggles against stronger opponents.
13871294,,Insufficient data,⚪ Insufficient data,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,,Needs more recent games before scouting score is meaningful.
30328482,43.9,Normal — no strong signal,⚪ Looks fair,0.0,15.3,13.0,1.0,8.7,5.9,Insufficient data vs stronger opponents,Hot streak,Trending up,Mostly plays weaker fields,Active,Mid consistency,1.0,43.9,• Posted top crosstable score in 1 event(s) over the last 90 days. • Approximate top-5 finish (by displayed crosstable order) in 10 events over the last 365 days. • Gained +55 rating points over the last 180 days (proxy). • Performs best in Regular events. • Form: Hot streak.
31821604,,Insufficient data,⚪ Insufficient data,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,,Needs more recent games before scouting score is meaningful.
